,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,fall_out,prevalence,negative_likelyhood_ratio,f1_score,fowlkes_mallows_index,precision,balanced_accuracy,miss_rate,false_omission_rate,prevalence_threshold,matthews_correlation_coefficient,positive_likelyhood_ratio,recall,specificity,markedness,accuracy,false_discovery_rate,negative_predictive_value,diagnostic_odds_ratio,informedness,threat_score,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'random_state')","('model_parameters', 'edge_features')","('model_parameters', 'edge_embeddings')","('model_parameters', 'cooccurrence_iterations')","('model_parameters', 'cooccurrence_window_size')","('model_parameters', 'number_of_epochs')","('model_parameters', 'number_of_edges_per_mini_batch')","('model_parameters', 'learning_rate')","('model_parameters', 'first_order_decay_factor')","('model_parameters', 'second_order_decay_factor')","('model_parameters', 'avoid_false_negatives')","('model_parameters', 'use_scale_free_distribution')","('features_parameters', 'random_state')","('features_parameters', 'embedding_size')","('features_parameters', 'epochs')","('features_parameters', 'clipping_value')","('features_parameters', 'number_of_negative_samples')","('features_parameters', 'walk_length')","('features_parameters', 'iterations')","('features_parameters', 'window_size')","('features_parameters', 'max_neighbours')","('features_parameters', 'learning_rate')","('features_parameters', 'learning_rate_decay')","('features_parameters', 'central_nodes_embedding_path')","('features_parameters', 'contextual_nodes_embedding_path')","('features_parameters', 'normalize_by_degree')","('features_parameters', 'stochastic_downsample_by_degree')","('features_parameters', 'normalize_learning_rate_by_degree')","('features_parameters', 'use_scale_free_distribution')","('features_parameters', 'dtype')","('features_parameters', 'verbose')","('features_parameters', 'avoid_false_negatives')","('features_parameters', 'node_embedding_path')","('features_parameters', 'return_weight')","('features_parameters', 'explore_weight')","('features_parameters', 'contextual_node_embedding_path')"
550,train,0.0138064691637981,1.0,True,0.937868545951388,0.6666666666666666,0.1111111111111106,0.8067295615854193,0.8213215079995911,0.679258275539816,0.5276139795771609,0.0069034948942902,0.1818181818181818,0.4928482317331208,0.1657486083735862,1.0588866738230334,0.9930965051057098,0.0621314540486121,0.4974400937216341,0.6827748214200106,0.320741724460184,0.8181818181818181,9.529980064407338,0.0552279591543218,0.6760659910902237,0.6572302305122005,0.7618780844995394,115.20119094848631,0.0597579479217529,1698750270.511997,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,2,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,7.390975952148438e-05,3.814697265625e-06,9.5367431640625e-07,20.01044988632202,19.16006112098694,5.0067901611328125e-06,9.5367431640625e-07,1.9073486328125e-06,First-order LINE,126,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,100,,,,,,,0.05,0.9,,,,,,True,f32,False,False,,,,
551,test,0.0138064691637981,1.0,True,0.9352890422778256,0.6666666666666666,1.0566666666666666,0.776589049716803,0.787570683192223,0.6657931247109604,0.4981665228645384,0.0683779119930975,0.6788008565310493,0.5004910461119906,-0.0069064287263895,0.996079335793358,0.9316220880069024,0.0647109577221742,-0.0130077318200888,0.6426517112453264,0.3342068752890396,0.3211991434689507,0.942661831981096,-0.0036669542709232,0.6347736625514403,0.6019074517915463,0.72802373319315,115.20119094848631,0.0597579479217529,1698750270.511997,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,2,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,7.390975952148438e-05,3.814697265625e-06,9.5367431640625e-07,20.01044988632202,19.16006112098694,5.0067901611328125e-06,9.5367431640625e-07,1.9073486328125e-06,First-order LINE,126,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,100,,,,,,,0.05,0.9,,,,,,True,f32,False,False,,,,
552,train,0.0138064691637981,1.0,True,0.2936861786279303,0.6666666666666666,0.1968030950926491,0.8576340388954551,0.8576405742331974,0.8542989653942205,0.7836545376096649,0.1390047461527398,0.282437171244886,0.3687021583697418,0.5695808859083368,2.9316846229187075,0.8609952538472602,0.7063138213720697,0.5718617941493345,0.80943477635553,0.1457010346057795,0.7175628287551139,14.89653717863815,0.5673090752193297,0.750752445447705,0.8742386368344552,0.927124235635062,118.79178786277772,0.0587689876556396,1698750419.843599,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,3,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,7.390975952148438e-05,3.814697265625e-06,9.5367431640625e-07,28.76435112953186,27.89053201675415,4.76837158203125e-06,2.1457672119140625e-06,1.9073486328125e-06,First-order LINE,168,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,True,42,100,100,,,,,,,0.05,0.9,,,,,,True,f32,False,False,,,,
553,test,0.0138064691637981,1.0,True,0.2972389991371872,0.6666666666666666,0.3812154696132597,0.7785296478954008,0.780100281064177,0.831251530737203,0.7174288179465056,0.2679033649698016,0.4326018808777429,0.38919720103035,0.4163602337969628,2.462989840348331,0.7320966350301984,0.7027610008628128,0.39864964985946,0.7223180903077365,0.1687484692627969,0.567398119122257,6.460886392797794,0.4348576358930112,0.6373708920187794,0.7862260390789417,0.8781421306911442,118.79178786277772,0.0587689876556396,1698750419.843599,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,3,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,7.390975952148438e-05,3.814697265625e-06,9.5367431640625e-07,28.76435112953186,27.89053201675415,4.76837158203125e-06,2.1457672119140625e-06,1.9073486328125e-06,First-order LINE,168,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,True,42,100,100,,,,,,,0.05,0.9,,,,,,True,f32,False,False,,,,
554,train,0.0138064691637981,1.0,True,0.9469293830001438,0.6666666666666666,0.1151761517615165,0.805630847250153,0.8204838837385817,0.677333986767949,0.5234790737811017,0.0061124694376527,0.1872246696035242,0.4939503538983912,0.1517057205151401,1.049589914945322,0.9938875305623472,0.0530706169998561,0.4901093171644248,0.6802818927081835,0.322666013232051,0.8127753303964758,9.11291008505476,0.0469581475622034,0.674524158125915,0.6528805626957306,0.7564524834677422,120.38362002372742,0.0698952674865722,1698750541.540405,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,3,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,7.390975952148438e-05,3.814697265625e-06,9.5367431640625e-07,28.76435112953186,27.89053201675415,4.76837158203125e-06,2.1457672119140625e-06,1.9073486328125e-06,First-order LINE,168,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,100,,,,,,,0.05,0.9,,,,,,True,f32,False,False,,,,
555,test,0.0138064691637981,1.0,True,0.9426229508196722,0.6666666666666666,1.2406015037593976,0.773973218297834,0.7849581577715041,0.6633800647049761,0.4930974978429681,0.0711820534943916,0.712742980561555,0.5018441929076775,-0.0261046981663232,0.9853546910755148,0.9288179465056084,0.0573770491803278,-0.0493629158565789,0.6383376473971815,0.3366199352950239,0.2872570194384449,0.7942555994729914,-0.0138050043140638,0.6312857352294385,0.6080757674678642,0.7335213378977269,120.38362002372742,0.0698952674865722,1698750541.540405,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,3,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,7.390975952148438e-05,3.814697265625e-06,9.5367431640625e-07,28.76435112953186,27.89053201675415,4.76837158203125e-06,2.1457672119140625e-06,1.9073486328125e-06,First-order LINE,168,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,100,,,,,,,0.05,0.9,,,,,,True,f32,False,False,,,,
556,train,0.0138064691637981,1.0,True,0.3020279016251977,0.6666666666666666,0.1875128786317741,0.8604584935212872,0.860501238296144,0.8519667277597631,0.7835466705019416,0.130878757370919,0.2727408961486587,0.3708710964896193,0.573127483239195,2.8776190476190475,0.869121242629081,0.6979720983748022,0.5792258316111043,0.8120715278776547,0.1480332722402368,0.7272591038513412,15.346247514390372,0.5670933410038832,0.7550918405597901,0.8738258340311246,0.9254035136562831,117.15697479248048,0.0587298870086669,1698750688.7736,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,4,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,7.390975952148438e-05,3.814697265625e-06,9.5367431640625e-07,28.3263099193573,27.437232971191406,8.821487426757812e-06,2.1457672119140625e-06,1.9073486328125e-06,First-order LINE,210,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,True,42,100,100,,,,,,,0.05,0.9,,,,,,True,f32,False,False,,,,
557,test,0.0138064691637981,1.0,True,0.3067299396031061,0.6666666666666666,0.3596764156813939,0.7884898606548091,0.7894937565502125,0.8303507516105941,0.7219585849870578,0.2493528904227783,0.4183858125226203,0.3899591383166124,0.4276427362746762,2.4472573839662446,0.7506471095772217,0.6932700603968939,0.4119649390879738,0.7315214265171125,0.1696492483894058,0.5816141874773797,6.80405296891653,0.4439171699741155,0.650832242378904,0.7890732653852768,0.8798433389981254,117.15697479248048,0.0587298870086669,1698750688.7736,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,4,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,7.390975952148438e-05,3.814697265625e-06,9.5367431640625e-07,28.3263099193573,27.437232971191406,8.821487426757812e-06,2.1457672119140625e-06,1.9073486328125e-06,First-order LINE,210,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,True,42,100,100,,,,,,,0.05,0.9,,,,,,True,f32,False,False,,,,
558,train,0.0138064691637981,1.0,True,0.9509564216884798,0.6666666666666666,0.1319648093841635,0.8047999067979262,0.8197252020117968,0.6763266105345604,0.5212857759240616,0.006472026463397,0.2088167053364269,0.4945259711806588,0.1410766535208908,1.044767090139141,0.9935279735366028,0.0490435783115202,0.4675099051981335,0.6786998417949087,0.3236733894654395,0.7911832946635731,7.917012838609976,0.0425715518481231,0.673359976605907,0.6594620671112852,0.7646736244460353,120.12373876571657,0.0577352046966552,1698750810.170253,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,4,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,7.390975952148438e-05,3.814697265625e-06,9.5367431640625e-07,28.3263099193573,27.437232971191406,8.821487426757812e-06,2.1457672119140625e-06,1.9073486328125e-06,First-order LINE,210,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,100,,,,,,,0.05,0.9,,,,,,True,f32,False,False,,,,
559,test,0.0138064691637981,1.0,True,0.940897325280414,0.6666666666666666,1.1751824817518248,0.7751325128020843,0.7861743122476811,0.664203233256351,0.494823123382226,0.0694564279551337,0.7015250544662309,0.5013831364485032,-0.0196575920984319,0.9889958734525448,0.9305435720448664,0.0591026747195858,-0.0373218212098799,0.6400632729364395,0.335796766743649,0.2984749455337691,0.8415679171614822,-0.0103537532355478,0.6328296904796832,0.6043062425136662,0.730779112097487,120.12373876571657,0.0577352046966552,1698750810.170253,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,4,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,7.390975952148438e-05,3.814697265625e-06,9.5367431640625e-07,28.3263099193573,27.437232971191406,8.821487426757812e-06,2.1457672119140625e-06,1.9073486328125e-06,First-order LINE,210,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,100,,,,,,,0.05,0.9,,,,,,True,f32,False,False,,,,
